No,Judul Buku,Pengarang,Rak,Jumlah Eksemplar,Status
32,Sistem Basis Data; Konsep dan Pendekatan Praktikum,M.A. Ineke Pakereng,Basis Data,5,TERSEDIA
33,PANDUAN SISTEM BANGUNAN TINGGI UNTUK ARSITEK DAN PRAKTISI BANGUNAN,Jimmy S. Juwana,Arsitektur,3,TERSEDIA
34,Panduan Menjadi Administrator Sistem,Tidak diketahui,Tidak ada info rak,0,KOSONG
35,Sistem Informasi Akuntansi ; Teori dan Desain,"Denny Erica,Eni Heni Hermaliani,Sri Wasiyanti,Lisnawanty ",Manajemen,1,TERSEDIA
36,Sistem Operasi Windows 2000,ian chandra k,Tidak ada info rak,4,TERSEDIA
37,Sistem Informasi Akademik Menggunakan Turbo Pascal,"R. Soegeng,Hidayati Yunusir",Tidak ada info rak,1,TERSEDIA
38,Sistem Komputer: Teori dan Implementasi,"Sastya Hendri Wibowo,Yulia Darnita,Muntahanah ",Ilmu Umum dan Komputer,5,TERSEDIA
39,Sistem Kontrol: Lanjutan,"Charles L. Phillips,Royce D. Harbor",ilmu teknik,5,TERSEDIA
40,Sistem Pengambilan Keputusan,Debrina Puspita Andriani,Ilmu Umum dan Komputer,1,TERSEDIA
41,Sistem Sosial Indonesia,Nasikun ,Ilmu Politik Dan Pemerintahan,4,TERSEDIA
42,Systems Thinking dan Pemodelan Sistem Dinamis,Eddy Prahasta ,Ilmu Umum dan Komputer,10,TERSEDIA
43,Sistem Informasi Geografis,Indarto,GIS,10,TERSEDIA
44,Sistem Informasi Geografi,Muhamad Jafar Elly,Geografi dan Perjalanan,3,TERSEDIA
45,Sistem Informasi Akuntansi Jilid 1,"George H. Bodnar,William S. Hopwood",akuntansi,5,TERSEDIA
46,Perbandingan Sistem Pemerintahan,Zulkarnaen ,Ilmu Politik Dan Pemerintahan,1,TERSEDIA
47,"Sistem Pakar, Teori dan Aplikasi",Kusrini,Kecerdasan Buatan,126,TERSEDIA
48,Sistem Informasi Akuntansi Suatu Pengantar,Atyanto Mahatmyo,akuntansi,10,TERSEDIA
49,SIM Sistem Informasi Manajemen Jaringan,Faisal,SIM,4,TERSEDIA
50,Sistem Informasi Manajemen Jilid 1 edisi 7,"Raymond McLeod, Jr",SIM,1,TERSEDIA
51,Perancangan Sistem Operasi,Budi Halus Santoso,ilmu teknik,10,TERSEDIA
52,"Sistem Informasi Akuntansi: Perancangan, Proses, Dan Penerapan","Anastasia Diana,Lilis Setiawati",akuntansi,2,TERSEDIA
53,"Sistem Komputer Akuntansi, Giro",Leman ,Tidak ada info rak,1,TERSEDIA
54,Pengamanan Sistem Komputer,Janner Simarmata,Jaringan Komputer,10,TERSEDIA
55,Sistem Operasi Windows 2000 Professional,Mico Pardosi,ms.office,8,TERSEDIA
56,Sistem Informasi Pemeliharaan Alat Medis Rumah Sakit,"H. Boy S. Sabarguna,Zulfachri Usman,Supardjo",Kesehatan,2,TERSEDIA
57,Sistem Informasi untuk Manajemen Modern,Robert G. Murdick,SIM,3,TERSEDIA
58,Audit Sistem dan Teknologi Informasi,"Riyanarto Sarno,Anisah Herdiyanti",Manajemen,9,TERSEDIA
59,Sistem Basis Data Dalam Paket Five In One,Indrajani,Basis Data,5,TERSEDIA
60,Sistem Teknik Kendali,Cekmas Cekdin,Ilmu Teknik dan Ilmu yang Berkaitan,6,TERSEDIA
61,Sistem Akuntansi Sektor Publik,Indra Bastian,akuntansi,5,TERSEDIA
62,Sistem MEP (mekanikal elektrikal plambing) pada bangunan tinggi,Barli_arsitektur ,Arsitektur,1,TERSEDIA
63,Sistem enterprise : Konsep dan implementasi,Mahendrawathi ER,Manajemen,3,TERSEDIA
64,Sistem Informasi Pelayanan Publik,"Reydonnyzar Moenek,Dadang Suwanda,Yudi Prihanto Santoso",Administrasi Negara dan Ilmu Kemiliteran,3,TERSEDIA
65,Sistem informasi akuntansi edisi kelima,Krismiaji,Manajemen,1,TERSEDIA
66,Bahan Ajar Sistem Informasi Manajemen,"Yulia Djahir,Dewi Pratita",SIM,10,TERSEDIA
67,Sistem Basis Data; Analisis dan Pemodelan Data,Waljiyanto ,Basis Data,68,TERSEDIA
68,"Sistem digital, konsep dan aplikasi",Freddy Kurniawan,Makalah,22,TERSEDIA
69,Sistem Informasi Manajemen jilid2,"Raymond McLeod, Jr",Tidak ada info rak,107,TERSEDIA
70,Sistem Perencanaan dan Pengendalian Manajemen : Sistem Pelipatganda Kinerja Perusahaan,Mulyadi ,Manajemen Strategik,5,TERSEDIA
71,"Sistem digital :  analisis, desain dan implementasi",Eko Didik Widianto,ilmu teknik,10,TERSEDIA
72,Sistem Informasi Manajemen Perspektif Organisasi,Danang Sunyoto,Manajemen,2,TERSEDIA
73,12 Proyek Sistem Akuisisi Data,"Widodo Budiharto ,Togu Jefri",elektronika,11,TERSEDIA
74,Metode Desain & Analisis Sistem,Jeffery L. Whitten,ansi,32,TERSEDIA
75,Sistem Informasi Manajemen Studi Sistem informasi Berbasis Komputer jilid 1,"Raymond McLeod, Jr",SIM,136,TERSEDIA
76,Sistem Informasi Akuntansi Buku Dua,Marshall B. Romney,akuntansi,10,TERSEDIA
77,Manajemen Sistem Persiapan Menuju Ke Autonomic Computing,Yuniarto Nurwono,SIM,10,TERSEDIA
78,Sistem Komputerisasi Akuntansi: Inventory,Leman,akuntansi,2,TERSEDIA
79,Sistem Jaringan Fiber Optic,"Gunawan Wibisono,Gunadi Dwi Hantoro,Febrizal",Ilmu Umum dan Komputer,10,TERSEDIA
80,Sistem Informasi Akuntansi Jilid 2,"George H. Bodnar,William S. Hopwood",akuntansi,5,TERSEDIA
81,Reengineering Sistem Informasi,Irwan Isa,SIM,2,TERSEDIA
82,Konsep Sistem Informasi,Jeperson Hutahaean,SIM,10,TERSEDIA
83,Sistem komunikasi Indonesia,Nurudin,Sosiologi Dan Antropologi,10,TERSEDIA
84,Pengantar Sistem Operasi Komputer,Satrio Yudho,Sistem Operasi,10,TERSEDIA
85,Perencanaan & Pembangunan Sistem informasi,"Budi Sutedjo Dharma Oetomo, S.Kom.,MM",SIM,43,TERSEDIA
86,Sistem Pemerintahan Indonesia : Pergulatan Ketatanegaraan Menuju Sistem Pemerintahaan Presidensial,Saldi Isra,Ilmu Politik Dan Pemerintahan,7,TERSEDIA
87,Sistem pendukung keputusan,Rohmat Taufiq,Ilmu Umum dan Komputer,4,TERSEDIA
88,Pengantar Sistem Simulasi,Thomas J. Kakiay,ansi,10,TERSEDIA
89,Rekayasa Sistem Berorientasi Objek,Bambang Hariyanto,pemrograman,10,TERSEDIA
90,Pengantar teologi sistematika,Kresbinol Labobar,Teologi Kristen,1,TERSEDIA
91,Sistem Informasi Manajemen (Edisi Revisi),Tata Sutabri,SIM,2,TERSEDIA
92,Sistem Pakar: Konsep dan Teori,Rika Rosnelly,Ilmu Umum dan Komputer,1,TERSEDIA
